"Date","Price","Open","High","Low","Vol.","Change %"
"11/07/2024","17.93","17.26","17.95","17.15","289.13K","4.00%"
"11/06/2024","17.24","17.15","17.44","17.00","266.34K","1.17%"
"11/05/2024","17.04","16.69","17.06","16.67","216.59K","2.34%"
"11/04/2024","16.65","16.68","16.74","16.40","232.03K","-0.24%"
"11/01/2024","16.69","16.40","16.74","16.33","275.55K","2.71%"
"10/31/2024","16.25","15.95","16.26","15.90","269.44K","1.82%"
"10/30/2024","15.96","15.91","16.21","15.81","156.62K","0.19%"
"10/29/2024","15.93","15.89","16.05","15.86","120.49K","0.19%"
"10/28/2024","15.90","16.40","16.40","15.89","235.37K","-0.38%"
"10/25/2024","15.96","15.82","16.00","15.80","114.13K","1.01%"
"10/24/2024","15.80","15.64","15.97","15.52","307.40K","1.09%"
"10/23/2024","15.63","16.09","16.09","15.48","464.21K","-3.46%"
"10/22/2024","16.19","16.22","16.25","15.99","204.15K","-1.04%"
"10/21/2024","16.36","16.49","16.52","16.29","120.06K","-0.73%"
"10/18/2024","16.48","16.55","16.63","16.45","121.51K","0.12%"
"10/17/2024","16.46","16.47","16.53","16.32","143.83K","-0.36%"
"10/16/2024","16.52","16.61","16.74","16.50","158.30K","0.00%"
"10/15/2024","16.52","16.25","16.63","16.23","187.33K","1.35%"
"10/14/2024","16.30","16.15","16.33","16.10","132.11K","0.25%"
"10/11/2024","16.26","16.15","16.35","16.12","115.46K","0.99%"
"10/10/2024","16.10","16.06","16.23","16.02","128.01K","-0.12%"
"10/09/2024","16.12","16.15","16.22","16.02","149.62K","-0.25%"
"10/08/2024","16.16","15.99","16.25","15.88","185.08K","0.75%"
"10/07/2024","16.04","16.51","16.51","16.03","173.36K","-2.67%"
"10/04/2024","16.48","16.34","16.55","16.07","186.64K","1.04%"
"10/03/2024","16.31","16.24","16.43","16.23","178.34K","0.18%"
"10/02/2024","16.28","15.88","16.32","15.88","364.65K","1.81%"
"10/01/2024","15.99","16.27","16.27","15.91","206.84K","-1.17%"
"09/30/2024","16.18","16.51","16.60","16.07","276.03K","-1.82%"
"09/27/2024","16.48","16.51","16.62","16.48","219.03K","-0.06%"
"09/26/2024","16.49","16.34","16.58","16.18","200.07K","1.79%"
"09/25/2024","16.20","16.01","16.34","15.95","195.86K","1.25%"
"09/24/2024","16.00","16.11","16.15","15.93","259.94K","-0.31%"
"09/23/2024","16.05","16.02","16.07","15.89","117.58K","0.50%"
"09/20/2024","15.97","16.29","16.36","15.94","260.34K","-1.96%"
"09/19/2024","16.29","16.33","16.41","16.16","143.36K","0.87%"
"09/18/2024","16.15","16.43","16.53","16.12","268.77K","-1.52%"
"09/17/2024","16.40","16.60","16.76","16.38","327.73K","-0.61%"
"09/16/2024","16.50","16.27","16.52","16.20","151.87K","1.54%"
"09/13/2024","16.25","15.91","16.34","15.77","172.89K","2.98%"
