Date,Price,Open,High,Low,Vol.,return,log return
1/4/2021,16.47,16.83,16.87,16.39,93.52K,-1.61%,0.0000%
1/5/2021,16.43,16.45,16.54,16.33,86.78K,-0.24%,-3.4104%
1/6/2021,17,16.53,17.02,16.52,160.16K,3.47%,-0.1763%
1/7/2021,17.03,17,17.12,16.75,88.48K,0.18%,1.1219%
1/8/2021,16.84,16.99,17.07,16.61,59.16K,-1.12%,0.8947%
1/11/2021,16.69,16.71,16.94,16.54,49.44K,-0.89%,0.8424%
1/12/2021,16.55,16.79,16.79,16.47,60.71K,-0.84%,0.9105%
1/13/2021,16.4,16.53,16.6,16.34,74.19K,-0.91%,-0.3044%
1/14/2021,16.45,16.49,16.6,16.4,79.65K,0.30%,1.0388%
1/15/2021,16.28,16.46,16.46,16.17,82.25K,-1.03%,1.5475%
1/19/2021,16.03,16.37,16.39,15.97,226.56K,-1.54%,-0.4978%
1/20/2021,16.11,16.15,16.32,16.1,77.56K,0.50%,1.3750%
1/21/2021,15.89,15.97,16.18,15.79,145.13K,-1.37%,3.3272%
1/22/2021,15.37,15.74,15.86,15.26,136.98K,-3.27%,0.5219%
1/25/2021,15.29,15.07,15.36,14.58,256.15K,-0.52%,0.7220%
1/26/2021,15.18,14.8,15.27,14.65,264.33K,-0.72%,2.7381%
1/27/2021,14.77,14.94,15.14,14.6,244.22K,-2.70%,1.2262%
1/28/2021,14.59,14.71,14.87,14.52,192.18K,-1.22%,1.2414%
1/29/2021,14.41,14.64,14.7,14.26,127.47K,-1.23%,-2.3998%
2/1/2021,14.76,14.5,14.82,14.41,92.26K,2.43%,-3.3969%
2/2/2021,15.27,14.99,15.33,14.9,126.15K,3.46%,0.5911%
2/3/2021,15.18,15.27,15.31,15.04,83.73K,-0.59%,-2.2151%
2/4/2021,15.52,15.26,15.71,15.22,74.41K,2.24%,-3.2332%
2/5/2021,16.03,15.85,16.18,15.68,157.13K,3.29%,-1.4246%
2/8/2021,16.26,16.18,16.37,16.11,106.57K,1.43%,2.0504%
2/9/2021,15.93,16.19,16.24,15.76,79.20K,-2.03%,0.6929%
2/10/2021,15.82,16.07,16.07,15.75,71.20K,-0.69%,0.7614%
2/11/2021,15.7,15.81,15.83,15.6,71.38K,-0.76%,1.0243%
2/12/2021,15.54,15.7,15.78,15.52,78.09K,-1.02%,-6.2364%
2/16/2021,16.54,15.74,16.62,15.6,294.75K,6.44%,0.9721%
2/17/2021,16.38,16.37,16.46,15.96,173.71K,-0.97%,1.9729%
2/18/2021,16.06,16.43,16.44,15.97,103.16K,-1.95%,-1.4220%
2/19/2021,16.29,16.01,16.4,16.01,85.98K,1.43%,-4.8527%
