Date,Price,Open,High,Low,Vol.,return,log return,Volatility
1/5/2021,16.43,16.45,16.54,16.33,86.78K,-0.0024286581663630624,-3.4104%,0.02162521451046007
1/6/2021,17.0,16.53,17.02,16.52,160.16K,0.03469263542300682,-0.1763%,0.02048428569363497
1/7/2021,17.03,17.0,17.12,16.75,88.48K,0.0017647058823531125,1.1219%,0.024404913019862896
1/8/2021,16.84,16.99,17.07,16.61,59.16K,-0.011156782149148614,0.8947%,0.022745413445389225
1/11/2021,16.69,16.71,16.94,16.54,49.44K,-0.008907363420427417,0.8424%,0.021894562200435543
1/12/2021,16.55,16.79,16.79,16.47,60.71K,-0.008388256440982622,0.9105%,0.02102384888227588
1/13/2021,16.4,16.53,16.6,16.34,74.19K,-0.009063444108761476,-0.3044%,0.020288838873538897
1/14/2021,16.45,16.49,16.6,16.4,79.65K,0.0030487804878049918,1.0388%,0.019758991840491503
1/15/2021,16.28,16.46,16.46,16.17,82.25K,-0.010334346504559111,1.5475%,0.018989871335961347
1/19/2021,16.03,16.37,16.39,15.97,226.56K,-0.01535626535626533,-0.4978%,0.01885834934768976
1/20/2021,16.11,16.15,16.32,16.1,77.56K,0.004990642545227519,1.3750%,0.019367007493079298
1/21/2021,15.89,15.97,16.18,15.79,145.13K,-0.013656114214773307,3.3272%,0.01874945547266925
1/22/2021,15.37,15.74,15.86,15.26,136.98K,-0.03272498426683457,0.5219%,0.019053668703915595
1/25/2021,15.29,15.07,15.36,14.58,256.15K,-0.005204944697462577,0.7220%,0.023040254529524174
1/26/2021,15.18,14.8,15.27,14.65,264.33K,-0.007194244604316502,2.7381%,0.021728048161042537
1/27/2021,14.77,14.94,15.14,14.6,244.22K,-0.027009222661396604,1.2262%,0.0207705734225667
1/28/2021,14.59,14.71,14.87,14.52,192.18K,-0.012186865267433955,1.2414%,0.022850181648773105
1/29/2021,14.41,14.64,14.7,14.26,127.47K,-0.012337217272104128,-2.3998%,0.022076831761367422
2/1/2021,14.76,14.5,14.82,14.41,92.26K,0.024288688410825765,-3.3969%,0.021478627155624513
2/2/2021,15.27,14.99,15.33,14.9,126.15K,0.03455284552845517,0.5911%,0.022765509433524532
2/3/2021,15.18,15.27,15.31,15.04,83.73K,-0.005893909626719096,-2.2151%,0.0258795310078145
2/4/2021,15.52,15.26,15.71,15.22,74.41K,0.022397891963109373,-3.2332%,0.024089868196943406
2/5/2021,16.03,15.85,16.18,15.68,157.13K,0.03286082474226815,-1.4246%,0.02437320110353924
2/8/2021,16.26,16.18,16.37,16.11,106.57K,0.014348097317529618,2.0504%,0.026602339475853082
2/9/2021,15.93,16.19,16.24,15.76,79.20K,-0.02029520295202958,0.6929%,0.025285757799282983
2/10/2021,15.82,16.07,16.07,15.75,71.20K,-0.0069052102950407646,0.7614%,0.0249995699624907
2/11/2021,15.7,15.81,15.83,15.6,71.38K,-0.007585335018963413,1.0243%,0.02341459492879392
2/12/2021,15.54,15.7,15.78,15.52,78.09K,-0.010191082802547768,-6.2364%,0.022158925106014454
2/16/2021,16.54,15.74,16.62,15.6,294.75K,0.0643500643500643,0.9721%,0.021339946747736448
2/17/2021,16.38,16.37,16.46,15.96,173.71K,-0.0096735187424426,1.9729%,0.03387683056519802
2/18/2021,16.06,16.43,16.44,15.97,103.16K,-0.019536019536019578,-1.4220%,0.030959902906796205
2/19/2021,16.29,16.01,16.4,16.01,85.98K,0.014321295143213009,-4.8527%,0.02941057090216566
2/22/2021,17.1,16.25,17.47,16.11,216.12K,0.049723756906077554,-1.3361%,0.027571796292831262
2/23/2021,17.33,17.05,17.5,17.02,175.53K,0.013450292397660712,-0.6901%,0.032924733279667245
2/24/2021,17.45,17.43,17.59,17.26,121.81K,0.006924408540103899,-0.7991%,0.030403537489898172
2/25/2021,17.59,17.52,17.78,17.37,165.71K,0.008022922636103269,-7.0243%,0.027893250348206194
2/26/2021,18.87,18.19,19.25,17.93,437.53K,0.07276861853325767,-0.1059%,0.025853153627509146
3/1/2021,18.89,18.72,19.12,18.0,261.81K,0.0010598834128245915,1.6009%,0.038957559094189576
3/2/2021,18.59,19.03,19.39,18.24,681.04K,-0.015881418740074205,-4.9840%,0.0350166665050198
3/3/2021,19.54,18.4,19.7,18.4,219.48K,0.051102743410435636,3.7012%,0.03236548876919729
3/4/2021,18.83,19.46,19.6,18.61,141.42K,-0.03633572159672471,-5.0231%,0.0364668844536365
3/5/2021,19.8,19.0,19.85,18.81,222.75K,0.05151354221986204,-1.0050%,0.03631979665808287
3/8/2021,20.0,19.98,20.0,19.4,242.66K,0.010101010101010166,0.1501%,0.0393222629142673
3/9/2021,19.97,20.0,20.22,19.91,122.98K,-0.0015000000000000568,0.1503%,0.03557871628308678
3/10/2021,19.94,20.05,20.14,19.71,144.51K,-0.001502253380069929,-0.9483%,0.03213686860562731
3/11/2021,20.13,20.01,20.22,19.29,227.33K,0.00952858575727178,9.7498%,0.029215363166626884
3/12/2021,18.26,18.3,18.44,17.72,2.19M,-0.09289617486338786,-2.7014%,0.027039338229396817
3/15/2021,18.76,18.33,19.0,18.3,528.70K,0.027382256297918905,-0.6376%,0.046569645039044205
3/16/2021,18.88,18.79,18.94,18.3,532.64K,0.006396588486140553,3.2843%,0.043125976504024895
3/17/2021,18.27,18.9,18.9,18.14,205.91K,-0.03230932203389825,3.0002%,0.03868113860658524
3/18/2021,17.73,18.22,18.28,17.72,194.63K,-0.029556650246305383,1.1344%,0.037383015835258056
3/19/2021,17.53,17.75,17.99,17.48,171.59K,-0.011280315848843703,1.2052%,0.03593017714403069
3/22/2021,17.32,17.66,17.9,17.25,179.12K,-0.01197946377638337,1.2199%,0.03278467779474372
3/23/2021,17.11,17.31,17.45,17.09,276.07K,-0.012124711316397252,-0.9308%,0.030191794026714697
3/24/2021,17.27,17.14,18.37,16.61,2.53M,0.009351256575102385,2.6997%,0.0280463196359321
3/25/2021,16.81,17.03,17.03,16.41,302.92K,-0.026635784597568102,4.0054%,0.02605861399197661
3/26/2021,16.15,16.72,16.72,15.91,301.20K,-0.03926234384295069,1.2461%,0.026626641148422846
3/29/2021,15.95,16.05,16.26,15.87,191.43K,-0.01238390092879249,0.9449%,0.029687557962701495
3/30/2021,15.8,15.93,16.2,15.79,382.65K,-0.00940438871473348,0.3805%,0.02764998845898188
3/31/2021,15.74,15.81,16.08,15.65,198.48K,-0.0037974683544304,-3.1272%,0.025747747851030005
4/1/2021,16.24,15.72,16.28,15.7,327.60K,0.031766200762388674,-0.4914%,0.023903478151209148
4/5/2021,16.32,16.54,16.68,16.02,252.86K,0.0049261083743843415,-2.6604%,0.02603126016109931
4/6/2021,16.76,16.32,16.86,16.32,353.55K,0.026960784313725616,0.0000%,0.024168273587537783
4/7/2021,16.76,17.1,17.17,16.66,507.18K,0.0,1.5635%,0.02524074139270165
4/8/2021,16.5,16.76,17.01,16.43,321.12K,-0.015513126491646823,-0.1211%,0.023425928169948852
4/9/2021,16.52,16.46,16.64,16.25,231.26K,0.00121212121212122,0.8511%,0.02290167915306366
4/12/2021,16.38,16.72,16.72,16.14,268.66K,-0.008474576271186529,0.7968%,0.02150325278010661
4/13/2021,16.25,16.32,16.48,16.1,238.25K,-0.007936507936507908,1.2384%,0.02067800669717918
4/14/2021,16.05,16.2,16.4,16.02,303.07K,-0.012307692307692242,-1.5456%,0.019980217080161435
4/15/2021,16.3,16.24,16.53,16.11,300.08K,0.015576323987538832,0.8007%,0.019833971984779205
4/16/2021,16.17,16.38,16.43,16.05,143.14K,-0.00797546012269934,-6.5234%,0.0201044046872577
4/19/2021,17.26,17.6,17.95,17.13,1.56M,0.06740878169449593,6.2147%,0.019527696040489803
4/20/2021,16.22,17.16,17.55,16.01,827.20K,-0.0602549246813443,-1.9537%,0.03409815036007514
4/21/2021,16.54,16.22,16.55,16.07,577.63K,0.019728729963008673,1.4003%,0.04006100633217309
4/22/2021,16.31,16.65,16.68,16.14,336.57K,-0.013905683192261264,0.6767%,0.036905018629266303
